WERSET,TREŚĆ,TAGI
Psalm 147:3,"Uzdrawia mających złamane serce, przewiązuje im rany","uzdrowienie, pocieszenie, serce, troska, rany"
Psalm 37:18,"Jehowa wie, przez co przechodzą nienaganni, a ich dziedzictwo będzie trwać na zawsze.","Jehowa, znajomość, nienaganni, dziedzictwo, przyszłość"
Przysłów 17:17,"Prawdziwy przyjaciel kocha w każdym czasie, a bratem staje się w czasie nieszczęścia.","przyjaźń, lojalność, miłość, wierność, trudności"
"2 Koryntian 1:3, 4","Niech będzie wysławiany Bóg i Ojciec naszego Pana Jezusa Chrystusa, Ojciec serdecznego miłosierdzia i Bóg wszelkiego pocieszenia.
On pociesza nas w każdej naszej udręce, żebyśmy mogli pocieszać tych, którzy są w jakiejkolwiek udręce, pocieszeniem, jakiego sami doznajemy od Boga.","pocieszenie, miłosierdzie, udręka, empatia, pomoc"
Galatów 6:4,"Niech każdy sprawdza swoje własne postępowanie, a wtedy będzie miał powód do radości z samego siebie, a nie w porównywaniu się z kimś innym.","samokontrola, odpowiedzialność, postępowanie, porównywanie, dojrzałość"
"Psalm 126:5, 6","Ci, którzy sieją ze łzami, będą zbierać z radosnym okrzykiem.
Ten, kto idzie, płacząc, niosąc worek z ziarnem na siew, na pewno wróci z radosnym okrzykiem, niosąc swoje snopy.","nadzieja, cierpliwość, łzy, radość, plon"
Hioba 16:5,"Ja bym was umacniał słowami, a pocieszenie z moich ust przynosiłoby ulgę.","pocieszenie, słowa, wsparcie, ulga, empatia"
Psalm 61:2,"Od krańca ziemi wołam do ciebie, bo moje serce jest słabe. Zaprowadź mnie na skałę, która jest wyżej ode mnie.","wołanie, słabość, zaufanie, ochrona, skała"
Przysłów 18:13,"Gdy ktoś odpowiada, zanim wysłucha, jest to dla niego głupotą i upokorzeniem.","słuchanie, pochopność, mądrość, komunikacja, pokora"
Przysłów 27:2,"Niech chwali cię ktoś inny, a nie twoje własne usta, ktoś obcy, a nie twoje własne wargi.","pokora, skromność, reputacja, mowa, rozsądek"
2 Koryntian 10:18,"Bo uznaniem Bożym cieszy się nie ten, kto rekomenduje sam siebie, ale ten, kogo rekomenduje Jehowa.","pokora, aprobata, motywacja, samoocena, służba"
Psalm 112:7,"Nie będzie się bał złej wiadomości. Jego serce jest niezłomne, ufa Jehowie.","zaufanie, spokój, odwaga, wiara, stabilność"
Mateusza 6:19–20,"„Przestańcie gromadzić sobie skarby na ziemi, gdzie mole i rdza niszczą oraz gdzie złodzieje się włamują i kradną. Raczej gromadźcie sobie skarby w niebie, gdzie ani mole, ani rdza nie niszczą oraz gdzie złodzieje się nie włamują i nie kradną.”","skarby, wartości, perspektywa, bezpieczeństwo, wiara"
Przysłów 11:4,"„Bogactwo nie pomoże w dniu gniewu,
ale prawość ratuje od śmierci.”","bogactwo, prawość, odpowiedzialność, perspektywa, życie"
Łukasza 12:15,"„Miejcie oczy otwarte i strzeżcie się wszelkiej chciwości, bo nawet gdy ktoś ma obfitość, jego życie nie zależy od tego, co posiada.”","chciwość, bogactwo, umiar, perspektywa, życie"
1 Tymoteusza 6:6–7,"„Istotnie, oddanie Bogu jest wielkim zyskiem, jeśli idzie w parze z zadowoleniem. Bo niczego nie przynieśliśmy na świat i niczego też nie możemy z niego wynieść.”","zadowolenie, oddanie, prostota, perspektywa, wartości"
Izajasza 48:17,"„Tak mówi Jehowa, twój Odkupiciel, Święty Izraela:
Ja, Jehowa, jestem twoim Bogiem,
uczę cię, co jest dla ciebie pożyteczne,
prowadzę cię drogą, którą powinieneś iść”.","kierownictwo, mądrość, pożytek, zaufanie, decyzje"
Psalm 15:5b,"""Człowiekiem, który tak postępuje, nigdy nic nie wstrząśnie.""","stałość, uczciwość, prawość, bezpieczeństwo, charakter"
Izajasza 26:12,"Jehowo, Ty zapewnisz nam pokój, bo wszystkie nasze osiągnięcia są Twoją zasługą.","osiągnięcia, wdzięczność, zasługi, pokora, skromność, wsparcie"
Rzymian 12:2,"Sami się przekonajcie jaka jest wola Boga, co jest dla Niego dobre, miłe i doskonałe","prawda, wola Jehowy, dobro i zło, religia"
1 Tesaloniczan 2:13,"Stale też dziękujemy Bogu, bo gdy usłyszeliście od nas słowo Boże, przyjęliście je właśnie takim, jakie jest naprawdę — nie jako słowo ludzkie, ale jako słowo Boże, które na was, wierzących, wywiera wpływ.","Biblia, prawda, wpływ, głoszenie, wiara"
Psalm 32:5,"W końcu wyznałem Ci swój grzech, nie zakryłem swojej winy. Powiedziałem: „Wyznam swoje przewinienia Jehowie”. A Ty odpuściłeś moją winę — moje grzechy. (Sela).","Jehowa, przebaczanie, grzechy, wina, odpuszczenie win"
